epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
70,409.343,1.024,0.77232,0.0124,0.00049,0.79979,0.79004,0.83302,0.57314,0.93371,0.66215,0.0252,7e-05,0.00155313,0.00155313,0.00155313
71,414.622,1.0271,0.73248,0.01321,0.0004,0.75757,0.75557,0.79649,0.53884,1.01809,0.74203,0.02475,9e-05,0.00155148,0.00155148,0.00155148
72,419.189,0.97813,0.7195,0.01278,0.00045,0.7769,0.80237,0.8452,0.60335,0.92966,0.64607,0.02312,7e-05,0.00154983,0.00154983,0.00154983
73,424.249,0.93684,0.72553,0.01359,0.00036,0.76766,0.78852,0.8192,0.43869,1.57078,0.78317,0.02532,0.00027,0.00154818,0.00154818,0.00154818
74,429.13,1.04567,0.71048,0.01635,0.00043,0.80007,0.76626,0.83223,0.52675,1.10305,0.73497,0.02293,0.00013,0.00154653,0.00154653,0.00154653
75,434.633,0.94719,0.72367,0.01269,0.0004,0.79049,0.7925,0.85229,0.59968,1.02121,0.63374,0.02917,6e-05,0.00154488,0.00154488,0.00154488
76,439.83,0.94611,0.69945,0.01322,0.0004,0.81034,0.81941,0.86371,0.59024,1.02721,0.66445,0.02626,8e-05,0.00154323,0.00154323,0.00154323
77,445.117,0.8836,0.66362,0.01284,0.00038,0.8508,0.74573,0.842,0.59518,1.00901,0.66225,0.02268,9e-05,0.00154157,0.00154157,0.00154157
78,450.054,0.91446,0.66636,0.01296,0.00039,0.84361,0.7573,0.84508,0.61564,0.94474,0.67358,0.02434,6e-05,0.00153992,0.00153992,0.00153992
79,454.962,0.97118,0.68798,0.01302,0.0004,0.79278,0.80462,0.86786,0.6092,0.99956,0.62936,0.02439,9e-05,0.00153827,0.00153827,0.00153827
80,459.81,0.94769,0.67165,0.01326,0.00043,0.80279,0.76447,0.82508,0.53621,1.14731,0.70517,0.02621,0.00013,0.00153662,0.00153662,0.00153662
81,464.738,0.95367,0.66937,0.01224,0.00042,0.85542,0.75752,0.85485,0.59213,1.02743,0.67197,0.02292,8e-05,0.00153497,0.00153497,0.00153497
82,469.715,1.03457,0.7115,0.01278,0.00048,0.66507,0.73612,0.77548,0.51216,1.112,0.83464,0.02634,0.00011,0.00153332,0.00153332,0.00153332
83,474.409,0.91081,0.69425,0.01201,0.00067,0.78194,0.76179,0.85041,0.57757,1.13109,0.71608,0.02159,0.00014,0.00153167,0.00153167,0.00153167
84,479.458,0.94944,0.70514,0.01601,0.00042,0.76048,0.82795,0.85775,0.5769,1.03568,0.62638,0.04024,5e-05,0.00153002,0.00153002,0.00153002
85,484.357,0.91128,0.68334,0.01432,0.00039,0.86017,0.77821,0.86026,0.59925,0.91115,0.62392,0.02151,6e-05,0.00152837,0.00152837,0.00152837
86,489.313,0.99688,0.71592,0.01233,0.00047,0.8194,0.79374,0.86378,0.46527,1.41319,0.72854,0.02571,0.00024,0.00152672,0.00152672,0.00152672
87,494.056,0.93077,0.6725,0.01231,0.00044,0.79782,0.76096,0.84896,0.59654,0.88589,0.67154,0.02193,5e-05,0.00152507,0.00152507,0.00152507
