epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
103,564.9,1.18354,0.75813,0.01703,0.00087,0.79187,0.75961,0.82002,0.52725,1.11228,0.73832,0.02699,9e-05,0.00149867,0.00149867,0.00149867
104,569.492,1.18985,0.77932,0.01636,0.00085,0.82283,0.75399,0.82755,0.54188,1.08026,0.7294,0.02573,0.0001,0.00149702,0.00149702,0.00149702
105,574.639,1.17144,0.74731,0.01721,0.00078,0.85065,0.72927,0.82997,0.52838,1.09333,0.72717,0.02876,9e-05,0.00149537,0.00149537,0.00149537
106,579.394,1.16332,0.75662,0.0183,0.001,0.75363,0.77828,0.81855,0.54236,1.12246,0.74382,0.03109,9e-05,0.00149372,0.00149372,0.00149372
107,584.206,1.14316,0.74002,0.01629,0.00091,0.84962,0.73914,0.84408,0.53053,1.19332,0.72274,0.03047,0.0001,0.00149207,0.00149207,0.00149207
108,589.494,1.16631,0.73471,0.01772,0.00104,0.80155,0.81484,0.8418,0.53578,1.03402,0.69519,0.02786,0.0001,0.00149041,0.00149041,0.00149041
109,594.153,1.16724,0.75132,0.01759,0.001,0.79021,0.84564,0.86361,0.55784,1.20298,0.79963,0.02764,8e-05,0.00148876,0.00148876,0.00148876
110,598.425,1.11412,0.70804,0.01573,0.00076,0.83757,0.8122,0.86011,0.55747,1.14523,0.6689,0.02842,0.0001,0.00148711,0.00148711,0.00148711
111,603.399,1.1298,0.7373,0.01665,0.00075,0.79155,0.80661,0.81625,0.52634,1.12146,0.8054,0.02856,0.00011,0.00148546,0.00148546,0.00148546
112,608.295,1.14878,0.74896,0.01782,0.00096,0.81468,0.85656,0.8596,0.58362,1.0631,0.6619,0.02602,0.00012,0.00148381,0.00148381,0.00148381
113,613.507,1.1071,0.70371,0.01681,0.00091,0.77824,0.82092,0.8319,0.52299,1.09358,0.67791,0.02619,0.00014,0.00148216,0.00148216,0.00148216
114,618.506,1.20114,0.74309,0.01556,0.00096,0.75079,0.83785,0.84212,0.52596,1.15255,0.71221,0.02629,0.00012,0.00148051,0.00148051,0.00148051
115,623.852,1.16263,0.72367,0.0152,0.00095,0.78514,0.77131,0.83508,0.56429,1.07915,0.72271,0.02494,0.00014,0.00147886,0.00147886,0.00147886
